method,acc,acc(ver),acc(val),l2-err,PSNR,SSIM
NN,0.85889,0.80225,0.81348,17.03283,20.35373,0.92544
NN ALL,0.92529,0.87549,0.85352,18.94057,20.59522,0.91460
RANDOM NN,0.82178,0.76611,0.79004,10.78689,19.53554,0.89991
RP,0.45410,0.40625,0.46191,95.31767,15.72087,0.78007
