baseline,acc,acc(ver),acc(val),l2-err,PSNR,SSIM
Source A,99.7,99.6,,,,
Target B (original),99.8,100,92.7,,,
Target B (distorted),52.1,47.3,49.8,17.8,17.2,81.7
