baseline,acc,acc(ver),acc(val),l2-err,c-entropy
Source A,0.99200,0.99290,,,54.90430
Target B (original),0.93359,0.93164,0.93262,,54.94407
Target B (distorted),0.62500,0.58984,0.64551,1.41866,inf
