baseline,acc,acc(val),acc(ver),l2-err,PSNR,SSIM
Source A,99.7,,99.8,,,
Target B (original),99.8,93.2,99.8,,,
Target B (distorted),26.2,26.6,26.0,24.3,16.5,84.0
