method,acc,acc(ver)
CRITERION,0.38,0.25
NN,0.50,0.25
NN CC,0.38,0.25
NN ALL,0.38,0.25
NN ALL CC,0.38,0.25
RP,0.12,0.12
RP CC,0.25,0.00
NN ALL + RP CC,0.50,0.12
