Methods,acc,acc(val),acc(ver),l2-err,PSNR,SSIM
CRITERION,99.9(0.1),78.9(1.9),89.1(1.7),15.4(2.4),18.4(0.6),88.8(1.1)
NN,95.8(0.8),82.6(0.4),88.7(0.9),15.5(2.0),19.1(0.5),90.1(0.8)
NN CC,99.6(0.7),85.3(0.3),93.8(0.6),10.5(3.0),20.8(0.7),92.2(0.8)
NN ALL,98.6(0.7),86.7(1.3),94.1(1.0),9.8(1.0),22.6(0.3),95.1(0.2)
NN ALL CC,99.8(0.0),87.1(1.0),96.4(0.2),11.7(1.5),23.2(0.8),94.8(0.9)
RANDOM NN,57.1(5.7),53.3(5.4),52.6(5.8),38.6(15.7),12.1(0.9),66.3(2.0)
RANDOM NN CC,55.9(5.3),50.7(6.8),52.0(5.5),28.3(10.8),13.5(1.4),67.5(6.4)
RP,49.9(0.8),48.2(1.3),47.2(1.7),77.7(7.6),18.0(0.4),82.5(0.9)
RP CC,42.3(0.8),39.9(0.9),40.0(1.1),41.3(0.3),16.9(0.1),81.5(0.2)
